K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K03237,5160,Human Diseases,Infectious disease: viral ,Hepatitis C 
K03237,5168,Human Diseases,Infectious disease: viral ,Herpes simplex virus 1 infection 
K03237,5162,Human Diseases,Infectious disease: viral ,Measles 
K03237,5022,Human Diseases,Neurodegenerative disease,Pathways of neurodegeneration - multiple diseases 
K03237,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K03237,5012,Human Diseases,Neurodegenerative disease,Parkinson disease 
K03237,5010,Human Diseases,Neurodegenerative disease,Alzheimer disease 
K03237,5020,Human Diseases,Neurodegenerative disease,Prion disease 
K03237,3013,Genetic Information Processing ,Translation,RNA transport 
K03237,4138,Cellular Processes ,Transport and catabolism ,Autophagy - yeast 
K03237,4140,Cellular Processes ,Transport and catabolism ,Autophagy - animal 
K03238,3013,Genetic Information Processing ,Translation,RNA transport 
K03242,3013,Genetic Information Processing ,Translation,RNA transport 
K03243,3013,Genetic Information Processing ,Translation,RNA transport 
K03260,5416,Human Diseases,Cardiovascular disease,Viral myocarditis 
K03260,3013,Genetic Information Processing ,Translation,RNA transport 
K03264,3008,Genetic Information Processing ,Translation,Ribosome biogenesis in eukaryotes 
K03265,3015,Genetic Information Processing ,Translation,mRNA surveillance pathway 
K03269,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03270,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03271,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03272,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03273,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03274,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03275,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03276,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03278,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03279,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03280,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03330,970,Genetic Information Processing ,Translation,Aminoacyl-tRNA biosynthesis 
K03331,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K03332,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K03333,984,Metabolism ,Xenobiotics biodegradation and metabolism,Steroid degradation 
K03335,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K03336,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K03337,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K03338,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K03339,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K03340,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K03342,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03343,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K03366,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K03367,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K03367,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K03367,473,Metabolism ,Metabolism of other amino acids,D-Alanine metabolism 
K03367,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03379,930,Metabolism ,Xenobiotics biodegradation and metabolism,Caprolactam degradation 
K03380,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K03380,623,Metabolism ,Xenobiotics biodegradation and metabolism,Toluene degradation 
K03381,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K03381,623,Metabolism ,Xenobiotics biodegradation and metabolism,Toluene degradation 
K03381,361,Metabolism ,Xenobiotics biodegradation and metabolism,Chlorocyclohexane and chlorobenzene degradation 
K03381,364,Metabolism ,Xenobiotics biodegradation and metabolism,Fluorobenzoate degradation 
K03382,791,Metabolism ,Xenobiotics biodegradation and metabolism,Atrazine degradation 
K03383,791,Metabolism ,Xenobiotics biodegradation and metabolism,Atrazine degradation 
K03385,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K03386,4214,Cellular Processes ,Cell growth and death,Apoptosis - fly 
K03388,680,Metabolism ,Energy metabolism,Methane metabolism 
K03389,680,Metabolism ,Energy metabolism,Methane metabolism 
K03390,680,Metabolism ,Energy metabolism,Methane metabolism 
K03391,361,Metabolism ,Xenobiotics biodegradation and metabolism,Chlorocyclohexane and chlorobenzene degradation 
K03391,364,Metabolism ,Xenobiotics biodegradation and metabolism,Fluorobenzoate degradation 
K03392,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K03394,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03396,680,Metabolism ,Energy metabolism,Methane metabolism 
K03399,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03403,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03404,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03405,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03406,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03406,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03407,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03407,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03408,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03408,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03409,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03410,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03411,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03412,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03412,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03413,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03413,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03414,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03415,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03415,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03416,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K03417,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K03418,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K03420,3050,Genetic Information Processing ,Folding,Proteasome 
K03421,680,Metabolism ,Energy metabolism,Methane metabolism 
K03422,680,Metabolism ,Energy metabolism,Methane metabolism 
K03425,3060,Genetic Information Processing ,Folding,Protein export 
K03425,3070,Environmental Information Processing,Membrane transport ,Bacterial secretion system 
K03426,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K03426,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K03428,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03429,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K03430,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K03431,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K03432,3050,Genetic Information Processing ,Folding,Proteasome 
K03433,3050,Genetic Information Processing ,Folding,Proteasome 
K03456,4114,Cellular Processes ,Cell growth and death,Oocyte meiosis 
K03456,4113,Cellular Processes ,Cell growth and death,Meiosis - yeast 
K03456,4111,Cellular Processes ,Cell growth and death,Cell cycle - yeast 
K03456,4530,Cellular Processes ,Cellular community - eukaryotes,Tight junction 
K03456,4261,Organismal Systems,Circulatory system,Adrenergic signaling in cardiomyocytes 
K03456,5142,Human Diseases,Infectious disease: parasitic,Chagas disease 
K03456,5165,Human Diseases,Infectious disease: viral ,Human papillomavirus infection 
K03456,5160,Human Diseases,Infectious disease: viral ,Hepatitis C 
K03456,4728,Organismal Systems,Nervous system,Dopaminergic synapse 
K03456,4730,Organismal Systems,Nervous system,Long-term depression 
K03456,4152,Environmental Information Processing,Signal transduction,AMPK signaling pathway 
K03456,4151,Environmental Information Processing,Signal transduction,PI3K-Akt signaling pathway 
K03456,4071,Environmental Information Processing,Signal transduction,Sphingolipid signaling pathway 
K03456,4390,Environmental Information Processing,Signal transduction,Hippo signaling pathway 
K03456,4391,Environmental Information Processing,Signal transduction,Hippo signaling pathway - fly 
K03456,4350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway 
K03456,3015,Genetic Information Processing ,Translation,mRNA surveillance pathway 
K03462,4621,Organismal Systems,Immune system ,NOD-like receptor signaling pathway 
K03462,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K03464,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K03465,670,Metabolism ,Metabolism of cofactors and vitamins,One carbon pool by folate 
K03465,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K03469,3030,Genetic Information Processing ,Replication and Repair ,DNA replication 
K03470,3030,Genetic Information Processing ,Replication and Repair ,DNA replication 
K03471,3030,Genetic Information Processing ,Replication and Repair ,DNA replication 
K03472,750,Metabolism ,Metabolism of cofactors and vitamins,Vitamin B6 metabolism 
K03473,750,Metabolism ,Metabolism of cofactors and vitamins,Vitamin B6 metabolism 
K03474,750,Metabolism ,Metabolism of cofactors and vitamins,Vitamin B6 metabolism 
K03475,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K03475,2060,Environmental Information Processing,Membrane transport ,Phosphotransferase system (PTS) 
K03476,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K03516,2040,Cellular Processes ,Cell motility,Flagellar assembly 
K03517,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K03523,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K03524,780,Metabolism ,Metabolism of cofactors and vitamins,Biotin metabolism 
K03525,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K03526,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K03527,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K03531,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K03532,680,Metabolism ,Energy metabolism,Methane metabolism 
K03532,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03533,680,Metabolism ,Energy metabolism,Methane metabolism 
K03533,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03537,3013,Genetic Information Processing ,Translation,RNA transport 
K03537,3008,Genetic Information Processing ,Translation,Ribosome biogenesis in eukaryotes 
K03538,3013,Genetic Information Processing ,Translation,RNA transport 
K03538,3008,Genetic Information Processing ,Translation,Ribosome biogenesis in eukaryotes 
K03539,3013,Genetic Information Processing ,Translation,RNA transport 
K03539,3008,Genetic Information Processing ,Translation,Ribosome biogenesis in eukaryotes 
K03540,3013,Genetic Information Processing ,Translation,RNA transport 
K03544,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K03550,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03551,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03553,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03555,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K03557,5111,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae 
K03563,5111,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae 
K03563,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K03563,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K03563,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03566,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K03567,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K03572,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K03573,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K03575,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K03581,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03582,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03583,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03584,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03585,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K03585,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K03587,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K03587,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K03588,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K03589,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K03590,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K03594,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03596,5134,Human Diseases,Infectious disease: bacterial ,Legionellosis 
K03601,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K03602,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K03606,5111,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae 
K03620,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03621,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K03626,4928,Organismal Systems,Endocrine system,Parathyroid hormone synthesis
K03628,3018,Genetic Information Processing ,Folding,RNA degradation 
K03629,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03635,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K03635,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03636,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K03637,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K03637,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03638,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K03638,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03639,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K03639,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03644,785,Metabolism ,Metabolism of cofactors and vitamins,Lipoic acid metabolism 
K03648,5340,Human Diseases,Immune disease,Primary immunodeficiency 
K03648,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K03649,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K03651,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K03651,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K03652,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K03654,3018,Genetic Information Processing ,Folding,RNA degradation 
K03655,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03657,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K03657,3420,Genetic Information Processing ,Replication and Repair ,Nucleotide excision repair 
K03660,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K03666,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K03666,5111,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae 
K03666,3018,Genetic Information Processing ,Folding,RNA degradation 
K03671,5418,Human Diseases,Cardiovascular disease,Fluid shear stress and atherosclerosis 
K03671,4621,Organismal Systems,Immune system ,NOD-like receptor signaling pathway 
K03671,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K03671,5012,Human Diseases,Neurodegenerative disease,Parkinson disease 
K03673,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K03679,3018,Genetic Information Processing ,Folding,RNA degradation 
K03680,5168,Human Diseases,Infectious disease: viral ,Herpes simplex virus 1 infection 
K03680,3013,Genetic Information Processing ,Translation,RNA transport 
K03685,5205,Human Diseases,Cancer: overview ,Proteoglycans in cancer 
K03685,3008,Genetic Information Processing ,Translation,Ribosome biogenesis in eukaryotes 
K03689,195,Metabolism ,Energy metabolism,Photosynthesis 
K03693,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K03693,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K03695,4213,Organismal Systems,Aging,Longevity regulating pathway - multiple species 
K03701,3420,Genetic Information Processing ,Replication and Repair ,Nucleotide excision repair 
K03702,3420,Genetic Information Processing ,Replication and Repair ,Nucleotide excision repair 
K03703,3420,Genetic Information Processing ,Replication and Repair ,Nucleotide excision repair 
K03707,730,Metabolism ,Metabolism of cofactors and vitamins,Thiamine metabolism 
K03715,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K03723,3420,Genetic Information Processing ,Replication and Repair ,Nucleotide excision repair 
K03732,3018,Genetic Information Processing ,Folding,RNA degradation 
K03735,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K03736,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K03737,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K03737,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K03737,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K03737,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K03737,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K03738,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K03739,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K03739,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K03739,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03740,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K03740,5150,Human Diseases,Infectious disease: bacterial ,Staphylococcus aureus infection 
K03740,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03742,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K03743,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K03750,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03752,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03760,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K03760,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K03763,3030,Genetic Information Processing ,Replication and Repair ,DNA replication 
K03763,3440,Genetic Information Processing ,Replication and Repair ,Homologous recombination 
K03763,3430,Genetic Information Processing ,Replication and Repair ,Mismatch repair 
K03767,4217,Cellular Processes ,Cell growth and death,Necroptosis 
K03767,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K03776,2030,Cellular Processes ,Cell motility,Bacterial chemotaxis 
K03776,2020,Environmental Information Processing,Signal transduction,Two-component system 
K03777,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K03778,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K03779,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K03780,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K03781,4212,Organismal Systems,Aging,Longevity regulating pathway - worm 
K03781,4213,Organismal Systems,Aging,Longevity regulating pathway - multiple species 
K03781,4211,Organismal Systems,Aging,Longevity regulating pathway 
K03781,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K03781,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K03781,5022,Human Diseases,Neurodegenerative disease,Pathways of neurodegeneration - multiple diseases 
K03781,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K03781,4068,Environmental Information Processing,Signal transduction,FoxO signaling pathway 
K03781,4016,Environmental Information Processing,Signal transduction,MAPK signaling pathway - plant 
K03781,4011,Environmental Information Processing,Signal transduction,MAPK signaling pathway - yeast 
K03781,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K03782,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K03782,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K03782,940,Metabolism ,Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis 
K03782,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K03783,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K03783,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K03783,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K03784,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K03784,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K03784,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K03785,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K03786,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K03787,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K03787,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K03787,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K03788,740,Metabolism ,Metabolism of cofactors and vitamins,Riboflavin metabolism 
K03793,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03794,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03795,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K03800,785,Metabolism ,Metabolism of cofactors and vitamins,Lipoic acid metabolism 
K03801,785,Metabolism ,Metabolism of cofactors and vitamins,Lipoic acid metabolism 
K03809,130,Metabolism ,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis 
K03814,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K03815,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K03816,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K03821,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K03823,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K03825,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K03831,4122,Genetic Information Processing ,Folding,Sulfur relay system 
K03831,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K03841,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K03841,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K03841,30,Metabolism ,Carbohydrate metabolism,Pentose phosphate pathway 
K03841,4922,Organismal Systems,Endocrine system,Glucagon signaling pathway 
K03841,4910,Organismal Systems,Endocrine system,Insulin signaling pathway 
K03841,680,Metabolism ,Energy metabolism,Methane metabolism 
K03841,710,Metabolism ,Energy metabolism,Carbon fixation in photosynthetic organisms 
K03841,4152,Environmental Information Processing,Signal transduction,AMPK signaling pathway 
K03851,430,Metabolism ,Metabolism of other amino acids,Taurine and hypotaurine metabolism 
K03852,430,Metabolism ,Metabolism of other amino acids,Taurine and hypotaurine metabolism 
K03856,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K03862,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K03863,627,Metabolism ,Xenobiotics biodegradation and metabolism,Aminobenzoate degradation 
K03885,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03886,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03887,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03888,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03889,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03890,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03891,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03894,997,Metabolism ,Biosynthesis of other secondary metabolites,Biosynthesis of various secondary metabolites - part 3 
K03895,997,Metabolism ,Biosynthesis of other secondary metabolites,Biosynthesis of various secondary metabolites - part 3 
K03896,997,Metabolism ,Biosynthesis of other secondary metabolites,Biosynthesis of various secondary metabolites - part 3 
K03897,997,Metabolism ,Biosynthesis of other secondary metabolites,Biosynthesis of various secondary metabolites - part 3 
K03921,61,Metabolism ,Lipid metabolism,Fatty acid biosynthesis 
K03921,1040,Metabolism ,Lipid metabolism,Biosynthesis of unsaturated fatty acids 
K03922,61,Metabolism ,Lipid metabolism,Fatty acid biosynthesis 
K03922,1040,Metabolism ,Lipid metabolism,Biosynthesis of unsaturated fatty acids 
K03927,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K03939,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K03939,4932,Human Diseases,Endocrine and metabolic disease,Non-alcoholic fatty liver disease 
K03939,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03939,4714,Organismal Systems,Environmental adaptation ,Thermogenesis 
K03939,4723,Organismal Systems,Nervous system,Retrograde endocannabinoid signaling 
K03939,5022,Human Diseases,Neurodegenerative disease,Pathways of neurodegeneration - multiple diseases 
K03939,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K03939,5012,Human Diseases,Neurodegenerative disease,Parkinson disease 
K03939,5010,Human Diseases,Neurodegenerative disease,Alzheimer disease 
K03939,5016,Human Diseases,Neurodegenerative disease,Huntington disease 
K03939,5020,Human Diseases,Neurodegenerative disease,Prion disease 
K03941,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K03941,4932,Human Diseases,Endocrine and metabolic disease,Non-alcoholic fatty liver disease 
K03941,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03941,4714,Organismal Systems,Environmental adaptation ,Thermogenesis 
K03941,4723,Organismal Systems,Nervous system,Retrograde endocannabinoid signaling 
K03941,5022,Human Diseases,Neurodegenerative disease,Pathways of neurodegeneration - multiple diseases 
K03941,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K03941,5012,Human Diseases,Neurodegenerative disease,Parkinson disease 
K03941,5010,Human Diseases,Neurodegenerative disease,Alzheimer disease 
K03941,5016,Human Diseases,Neurodegenerative disease,Huntington disease 
K03941,5020,Human Diseases,Neurodegenerative disease,Prion disease 
K03943,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K03943,4932,Human Diseases,Endocrine and metabolic disease,Non-alcoholic fatty liver disease 
K03943,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K03943,4714,Organismal Systems,Environmental adaptation ,Thermogenesis 
K03943,4723,Organismal Systems,Nervous system,Retrograde endocannabinoid signaling 
K03943,5022,Human Diseases,Neurodegenerative disease,Pathways of neurodegeneration - multiple diseases 
